code,label,broad_domain_code,broad_domain_label,available_in_indicator_data,domain_role
ENE_ENA_STO_BA,Batteries,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_STO_CA,Capacitors,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_STO_MEC,"Mechanical energy storage, e.g. flywheels or pressurised fluids",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_STO_TH,Thermal energy storage,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_FUEL,Energy generation from fuels of non-fossil origin,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_FUEL_BIO,"Biofuels, e.g. bio-diesel",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_FUEL_WA,"Fuel from waste, e.g. synthetic alcohol or diesel",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_NEC,Not elsewhere classified,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_NUC,Nuclear energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_NUC_FI,Nuclear fission reactors,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_NUC_FU,Nuclear fusion reactors,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_OTHER,Other energy conversion or management systems reducing GHG emissions,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE,Renewable energy generation,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_GEO,Geothermal energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_HY,Hydro energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_MA,"Marine energy, e.g. using wave energy or salinity gradient",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_PV,Solar photovoltaic (PV) energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_SO,Solar thermal energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_SOPV,Solar thermal-PV hybrids,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_RE_WI,Wind energy,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_TE,"Technologies for an efficient electrical power generation, transmission or distribution",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_TE_NC,Not elsewhere classified,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_TE_SU,Superconducting electric elements or equipment,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
GHG_CH4,Capture or disposal of methane (CH4),GHG,"Capture, storage, sequestration or disposal of greenhouse gases",False,metadata subdomain under available broad domain
GHG_CO2,Capture or disposal of carbon dioxide (CO2),GHG,"Capture, storage, sequestration or disposal of greenhouse gases",False,metadata subdomain under available broad domain
GHG_N20,Capture or disposal of nitrous oxide (N2O),GHG,"Capture, storage, sequestration or disposal of greenhouse gases",False,metadata subdomain under available broad domain
GHG_NEC,Not elsewhere classified,GHG,"Capture, storage, sequestration or disposal of greenhouse gases",False,metadata subdomain under available broad domain
GHG_PFC_HFC_SF6,"Capture or disposal of perfluorocarbons (PFC), hydrofluorocarbons (HFC) or sulfur hexafluoride (SF6)",GHG,"Capture, storage, sequestration or disposal of greenhouse gases",False,metadata subdomain under available broad domain
GOODS_AGR,"Technologies relating to agriculture, livestock or agroalimentary industries",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_AFF,Afforestation or reforestation,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_FISH,Fishing; Aquaculture; Aquafarming,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_FOOD,"Food processing, e.g. use of renewable energies or variable speed drives in handling, conveying or stacking",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_GHG,Reduction of greenhouse gas [GHG] emissions in agriculture,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_LAND,Land use policy measures,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_LIVE,Livestock or poultry management,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_RENEW,"Using renewable energies, e.g. solar water pumping",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_AGR_SAVE,"Measures for saving energy, e.g. in green houses",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM,Technologies relating to chemical industry,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_ADI,Improvements relating to adipic acid or caprolactam production,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_BULK,Improvements relating to the production of bulk chemicals,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_CHL,Improvements relating to chlorine production,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
