feature,country_code,country_name,year_start,year_end,calendar_year_span,total_years,observed_years,missing_years,missing_share,first_observed_year,last_observed_year,leading_missing_years,internal_missing_years,trailing_missing_years,missingness_pattern
gdp_constant_2015_usd_lag1_3_mean,KOR,"Korea, Rep.",1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,KWT,Kuwait,2006,2023,18,16,16,0,0.0,2006.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LAO,Lao PDR,2000,2023,24,6,6,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LBN,Lebanon,1999,2023,25,24,24,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LBY,Libya,2009,2021,13,4,4,0,0.0,2009.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LKA,Sri Lanka,2000,2023,24,24,24,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LSO,Lesotho,2015,2015,1,1,1,0,0.0,2015.0,2015.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LTU,Lithuania,2000,2023,24,24,24,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LUX,Luxembourg,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,LVA,Latvia,1999,2023,25,22,22,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MAC,"Macao SAR, China",2009,2022,14,9,9,0,0.0,2009.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MAR,Morocco,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MDA,Moldova,2001,2021,21,18,18,0,0.0,2001.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MDG,Madagascar,2008,2015,8,5,5,0,0.0,2008.0,2015.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MDV,Maldives,2011,2011,1,1,1,0,0.0,2011.0,2011.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MEX,Mexico,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MHL,Marshall Islands,2016,2016,1,1,1,0,0.0,2016.0,2016.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MKD,North Macedonia,2002,2023,22,12,12,0,0.0,2002.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MLI,Mali,2005,2019,15,5,5,0,0.0,2005.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MLT,Malta,2000,2023,24,22,22,0,0.0,2000.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MNE,Montenegro,2003,2023,21,10,10,0,0.0,2003.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MNG,Mongolia,2005,2020,16,11,11,0,0.0,2005.0,2020.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MOZ,Mozambique,2008,2009,2,2,2,0,0.0,2008.0,2009.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MRT,Mauritania,2010,2021,12,6,6,0,0.0,2010.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MUS,Mauritius,2003,2021,19,14,14,0,0.0,2003.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,MYS,Malaysia,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NAM,Namibia,2001,2023,23,9,9,0,0.0,2001.0,2023.0,0,0,0,complete
