country_code,country_name,year,env_patent_share_inventions,rd_expenditure_gdp_lag1,rd_expenditure_gdp_lag1_3_mean,env_co_invention_share_lag1,env_co_invention_share_lag1_3_mean,energy_imports_net_lag1,energy_imports_net_lag1_3_mean,researchers_per_million_lag1,researchers_per_million_lag1_3_mean,environmental_tax_revenue_lag1,environmental_tax_revenue_lag1_3_mean
CYP,Cyprus,2013,0.0004617018,0.43765,0.44439999999999996,NaN,NaN,NaN,NaN,1022.02872,1072.9454433333333,2.57753105825743,2.6901705935508935
CYP,Cyprus,2014,0.0129281,0.48485,0.45837666666666665,NaN,NaN,NaN,NaN,1030.30177,1048.10695,2.7161409665036,2.6802206573631566
CYP,Cyprus,2015,0.001183768,0.51205,0.47818333333333335,NaN,NaN,NaN,NaN,1048.79818,1033.7095566666667,3.05500249463926,2.7828915064667634
CYP,Cyprus,2016,0.005275096,0.47529,0.49072999999999994,NaN,NaN,120.800980792808,NaN,994.37065,1024.4902,3.03329222644417,2.9348118958623437
CYP,Cyprus,2017,0.00268667,0.5197,0.5023466666666666,NaN,NaN,120.81703321389,NaN,1039.63583,1027.6015533333332,2.91472497464321,3.001006565242213
CYP,Cyprus,2018,0.0005166143,0.54259,0.5125266666666667,NaN,NaN,NaN,NaN,1188.67243,1074.2263033333331,2.99570699817855,2.98124139975531
CYP,Cyprus,2019,0.009765148,0.61032,0.5575366666666667,NaN,NaN,NaN,NaN,1385.15663,1204.4882966666667,2.91901772726499,2.9431499000289167
CYP,Cyprus,2020,0.007272516,0.70269,0.6185333333333333,NaN,NaN,NaN,NaN,1631.10513,1401.64473,2.51853202714868,2.8110855841974067
CYP,Cyprus,2021,0.007416006,0.82581,0.71294,25.92593,NaN,NaN,NaN,1712.04604,1576.1026000000002,2.43709718007431,2.6248823114959934
CYP,Cyprus,2022,0.02443687,0.77686,0.7684533333333334,21.42857,NaN,108.443148307344,NaN,1707.8633,1683.67149,2.34357106630789,2.4330667578436267
CYP,Cyprus,2023,0.03872743,0.70468,0.7691166666666667,5.882353,17.745617666666668,117.037858353679,NaN,1681.07176,1700.3270333333332,2.02726972326083,2.2693126565476764
CZE,Czechia,1999,0.1379475,1.05423,0.9734666666666666,16.15854,14.366129999999998,25.1143630942899,24.482426197797036,1223.32114,1234.70968,2.37604118062561,2.4287300527263436
CZE,Czechia,2000,0.07207617,1.04295,1.0265633333333333,10.06098,13.31301,25.0817365090553,24.767485642760203,1319.35303,1255.15009,2.54243869843755,2.4367062658998666
CZE,Czechia,2001,0.0904872,1.10377,1.0669833333333334,11.5625,12.594006666666667,22.7798633013614,24.32532096823553,1352.21409,1298.2960866666665,2.41436958786515,2.44428315564277
CZE,Czechia,2002,0.09011871,1.09343,1.08005,10.88235,10.835276666666667,25.1360999125507,24.332566574322467,1465.05243,1378.8731833333334,2.46861143073669,2.475139905679797
CZE,Czechia,2003,0.1146197,1.09272,1.0966399999999998,9.803922,10.749590666666668,26.3359451048518,24.750636106254632,1463.13284,1426.7997866666665,2.42971928654307,2.437566768381637
CZE,Czechia,2004,0.1324777,1.13817,1.1081066666666664,12.39892,11.028397333333332,25.0623374140375,25.511460810480003,1543.13456,1490.439943333333,2.52077501140937,2.4730352428963767
CZE,Czechia,2005,0.1002819,1.13619,1.1223599999999998,15.45894,12.553927333333334,25.5575034038039,25.651928640897733,1589.73189,1531.9997633333332,2.61194218364862,2.5208121605336866
